,carat,cut,color,clarity,depth,table,length,width,height,price
11279,1.22,Premium,E,SI2,62.1,56.0,6.89,6.83,4.26,4974
11684,1.01,Ideal,H,SI1,61.0,56.0,6.48,6.43,3.94,5062
12684,1.01,Good,F,SI1,63.9,59.0,6.29,6.32,4.03,5309
47507,0.74,Good,G,SI1,63.6,58.0,5.73,5.71,3.64,1865
49699,0.7,Very Good,I,SI1,63.0,56.0,5.61,5.66,3.55,2147
33227,0.4,Very Good,G,VS1,61.8,58.0,4.69,4.72,2.91,822
40703,0.4,Ideal,E,VVS2,62.1,56.0,4.7,4.73,2.93,1158
34065,0.36,Very Good,D,SI1,63.1,55.0,4.59,4.54,2.88,851
23427,1.32,Ideal,G,VVS2,62.3,57.0,6.96,7.04,4.36,11419
12823,1.11,Premium,G,VS2,61.0,59.0,6.7,6.67,4.08,5346
13711,0.37,Ideal,H,VS2,62.0,54.0,4.64,4.65,2.88,603
8883,1.01,Ideal,J,VS2,61.3,57.0,6.47,6.54,3.99,4486
33822,0.32,Ideal,G,VVS1,60.8,56.0,4.37,4.44,2.68,842
18275,1.01,Very Good,D,VS2,61.9,59.0,6.35,6.44,3.96,7422
31123,0.43,Very Good,G,SI1,60.4,58.0,4.87,4.9,2.95,754
37084,0.41,Premium,E,SI1,60.1,60.0,4.83,4.79,2.89,969
7829,0.91,Good,H,VS1,63.4,56.0,6.12,6.18,3.9,4298
45062,0.53,Very Good,G,VS1,63.1,56.0,5.12,5.15,3.24,1642
7233,1.01,Ideal,J,SI1,60.2,59.0,6.48,6.51,3.91,4194
5088,1.06,Very Good,J,SI2,62.0,58.0,6.45,6.53,4.04,3754
28763,0.31,Premium,F,VS1,61.8,60.0,4.35,4.39,2.7,680
38662,0.42,Ideal,D,SI1,62.3,57.0,4.8,4.77,2.98,1040
36218,0.36,Ideal,F,VS2,62.0,55.0,4.58,4.55,2.83,932
51324,0.31,Very Good,G,VS2,62.6,57.0,4.3,4.32,2.7,544
11839,1.09,Premium,G,VS2,62.1,57.0,6.6,6.55,4.08,5098
27695,0.4,Ideal,G,SI2,62.1,57.0,4.72,4.75,2.94,648
37642,0.48,Premium,H,SI1,61.9,58.0,5.04,5.01,3.11,990
38474,0.42,Ideal,F,VS1,61.0,57.0,4.84,4.87,2.96,1031
31632,0.3,Ideal,H,SI1,62.1,55.0,4.3,4.33,2.68,450
43120,0.52,Ideal,D,SI2,62.9,56.0,5.17,5.14,3.24,1385
49416,0.6,Premium,D,SI1,62.8,61.0,5.41,5.33,3.37,2106
13432,1.08,Ideal,H,SI1,61.8,54.0,6.6,6.61,4.09,5517
41174,0.4,Ideal,G,VVS1,61.6,57.0,4.76,4.75,2.93,1200
21624,1.32,Ideal,G,VS1,61.4,54.0,7.09,7.13,4.37,9715
49885,0.63,Premium,H,VVS1,61.3,61.0,5.49,5.44,3.35,2177
19498,1.23,Ideal,G,VS2,61.5,54.0,6.92,6.89,4.25,8133
23109,1.1,Very Good,D,VVS2,61.7,56.0,6.64,6.65,4.1,11132
444,1.02,Premium,G,I1,60.3,58.0,6.55,6.5,3.94,2815
13513,1.01,Premium,D,SI1,62.6,58.0,6.44,6.33,4.0,5543
42634,0.58,Premium,H,SI1,62.1,55.0,5.38,5.35,3.33,1332
48820,0.72,Very Good,J,VS2,62.2,58.0,5.68,5.73,3.55,2028
43192,0.58,Very Good,G,SI1,63.5,56.0,5.34,5.28,3.37,1393
31598,0.2,Very Good,E,VS2,63.4,59.0,3.74,3.71,2.36,367
673,0.76,Premium,D,SI1,61.1,59.0,5.93,5.88,3.61,2847
45958,0.56,Ideal,D,SI1,61.4,57.0,5.31,5.34,3.27,1723
21859,1.23,Ideal,G,VVS2,62.2,56.1,6.8,6.87,4.25,9921
37175,0.32,Ideal,D,VS2,61.6,56.0,4.4,4.37,2.7,972
49482,0.55,Ideal,G,VVS1,62.6,56.0,5.24,5.27,3.29,2116
47641,0.23,Very Good,D,VVS1,63.3,58.0,3.9,3.93,2.48,530
34591,0.37,Ideal,J,SI1,61.4,57.0,4.62,4.66,2.85,469
22949,1.5,Good,F,VS2,63.6,59.0,7.13,7.22,4.56,10995
6791,0.7,Ideal,F,VVS2,61.7,55.0,5.7,5.74,3.53,4114
34541,0.4,Ideal,G,VS1,61.8,57.0,4.73,4.75,2.93,868
12340,1.01,Premium,E,SI1,60.5,62.0,6.5,6.46,3.92,5226
49539,0.72,Premium,E,SI2,61.7,58.0,5.79,5.74,3.56,2125
40225,0.4,Premium,D,VS1,62.5,60.0,4.66,4.72,2.93,1123
10648,1.01,Good,H,SI1,63.7,60.0,6.35,6.3,4.03,4836
14495,1.01,Premium,F,SI1,59.1,56.0,6.65,6.52,3.89,5854
50905,0.8,Fair,G,SI2,64.6,55.0,5.86,5.75,3.75,2318
42815,0.5,Very Good,D,SI1,61.9,62.0,5.03,5.09,3.13,1354
21656,1.22,Ideal,F,VS1,61.5,56.0,6.89,6.84,4.22,9756
13743,1.22,Ideal,H,SI2,61.0,57.0,6.93,6.88,4.2,5602
10294,1.19,Premium,G,SI2,58.9,60.0,7.0,6.92,4.09,4758
40670,0.44,Premium,F,VS1,61.9,59.0,4.88,4.84,3.01,1155
8537,0.91,Very Good,G,SI1,60.2,58.0,6.29,6.31,3.79,4429
15285,1.09,Ideal,D,SI1,62.7,56.0,6.55,6.59,4.12,6133
20826,1.1,Very Good,G,IF,59.8,56.0,6.75,6.82,4.06,9053
1223,0.7,Good,F,VVS2,63.1,57.0,5.59,5.66,3.55,2940
46725,0.47,Very Good,D,VS1,60.0,59.0,5.07,5.09,3.06,1795
17996,1.19,Premium,H,VS1,62.4,59.0,6.79,6.73,4.22,7277
50129,0.58,Ideal,H,IF,61.6,57.0,5.34,5.37,3.3,2211
46581,0.81,Premium,I,SI2,61.5,60.0,5.94,5.9,3.64,1786
29780,0.3,Premium,I,VVS1,62.5,60.0,4.27,4.24,2.66,709
40128,0.41,Ideal,F,VVS2,61.7,56.0,4.78,4.81,2.96,1115
22161,1.27,Premium,G,VVS2,61.0,58.0,6.96,7.01,4.26,10203
14450,1.33,Premium,I,SI2,62.4,58.0,7.04,7.02,4.39,5832
7294,0.9,Ideal,H,VS1,60.9,57.0,6.2,6.24,3.79,4201
28313,0.32,Ideal,I,SI1,62.4,57.0,4.35,4.37,2.72,432
24380,0.32,Fair,F,SI1,64.4,54.0,4.36,4.33,2.8,638
12771,1.51,Premium,J,SI2,59.7,62.0,7.46,7.42,4.44,5327
12830,1.0,Very Good,E,SI1,59.6,60.0,6.43,6.48,3.85,5351
38867,0.4,Premium,F,VS1,61.4,58.0,4.75,4.73,2.91,1050
34137,0.32,Ideal,F,VVS1,61.6,55.0,4.42,4.44,2.73,854
20170,1.02,Very Good,G,IF,62.3,59.0,6.36,6.45,3.99,8624
33922,0.3,Ideal,E,VS2,62.6,56.0,4.34,4.29,2.7,844
48603,0.63,Premium,H,VS1,61.7,59.0,5.53,5.49,3.4,1996
17675,1.01,Premium,F,VS1,61.3,58.0,6.52,6.44,3.97,7127
12180,1.06,Premium,G,SI1,62.7,56.0,6.55,6.46,4.08,5183
21920,1.7,Premium,I,VS2,62.5,58.0,7.52,7.45,4.68,9996
38150,0.36,Premium,F,VS1,61.3,57.0,4.58,4.56,2.8,1013
12484,1.07,Very Good,H,VS2,61.5,57.0,6.57,6.63,4.06,5254
18698,0.3,Good,E,VS2,64.2,57.0,4.24,4.13,2.69,619
3071,0.8,Premium,D,SI1,61.7,58.0,5.96,5.93,3.67,3312
30128,0.32,Ideal,G,VS2,61.8,57.0,4.4,4.37,2.71,720
19094,1.01,Premium,G,VVS2,60.7,58.0,6.52,6.49,3.95,7862
14639,1.16,Ideal,D,SI1,62.0,56.0,6.76,6.73,4.18,5911
7070,0.33,Very Good,G,VS2,60.8,62.0,4.42,4.46,2.7,579
31151,0.41,Good,E,SI1,63.3,57.0,4.73,4.75,3.0,755
20385,0.31,Premium,G,VS1,59.5,59.0,4.4,4.47,2.64,625
31863,0.3,Premium,H,VVS2,62.1,52.0,4.31,4.29,2.67,776
18456,1.71,Good,J,SI2,63.9,59.0,7.55,7.47,4.8,7508
18539,1.21,Premium,H,VS1,62.5,59.0,6.8,6.74,4.23,7555
28141,0.3,Ideal,G,VVS2,62.5,55.0,4.3,4.34,2.7,665
10074,0.4,Good,J,VS2,64.0,57.0,4.67,4.7,3.0,591
18727,1.0,Ideal,G,VS1,62.5,54.0,6.4,6.44,4.01,7648
2381,0.32,Very Good,G,VS2,59.9,57.0,4.47,4.51,2.69,561
48388,0.5,Good,G,VVS1,63.3,56.0,5.07,5.1,3.22,1966
33451,0.32,Premium,G,VS1,62.4,58.0,4.4,4.35,2.73,828
16609,1.69,Ideal,H,I1,62.0,56.0,7.61,7.66,4.73,6636
47272,0.5,Ideal,H,IF,61.1,58.0,5.1,5.14,3.13,1844
45784,0.66,Premium,E,SI1,61.1,56.0,5.68,5.62,3.45,1708
16129,1.02,Very Good,D,VS2,63.9,59.0,6.29,6.33,4.03,6447
19306,1.1,Very Good,G,VVS1,61.5,57.0,6.61,6.66,4.08,8020
43329,0.4,Good,F,IF,63.5,58.0,4.69,4.7,2.98,1404
51361,0.72,Premium,G,SI2,61.6,55.0,5.79,5.76,3.56,2364
34269,0.32,Ideal,I,VS2,61.5,54.0,4.43,4.45,2.73,466
14783,1.17,Ideal,D,SI2,62.7,57.0,6.72,6.7,4.21,5949
43178,0.55,Ideal,F,SI1,61.0,56.0,5.28,5.34,3.24,1390
1629,0.81,Ideal,E,SI2,61.0,56.0,5.99,6.05,3.67,3015
31980,0.3,Premium,F,VS2,61.1,59.0,4.32,4.29,2.63,776
1330,0.72,Ideal,G,VS2,61.3,56.0,5.77,5.81,3.55,2960
33489,0.32,Ideal,F,VS2,62.3,56.0,4.4,4.37,2.73,828
43756,0.41,Ideal,F,IF,61.9,56.0,4.77,4.79,2.96,1439
14208,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,5759
23153,1.61,Premium,H,SI1,60.8,56.0,7.61,7.58,4.62,11169
49368,0.7,Very Good,F,SI1,63.2,56.0,5.61,5.5,3.51,2100
29500,0.32,Ideal,E,VS2,61.5,55.0,4.38,4.43,2.71,702
39775,0.36,Premium,D,VS2,59.1,58.0,4.68,4.63,2.75,1094
43063,0.45,Ideal,G,IF,62.0,53.0,4.94,4.99,3.08,1377
16368,0.33,Very Good,D,SI1,61.5,60.0,4.41,4.44,2.72,608
43133,0.58,Good,F,SI1,63.1,57.0,5.29,5.33,3.35,1388
53429,0.7,Ideal,F,SI1,60.7,57.0,5.78,5.82,3.52,2671
41746,0.52,Good,G,SI1,63.3,57.0,5.08,5.11,3.22,1244
39598,0.34,Ideal,E,VVS1,61.9,56.0,4.51,4.47,2.78,1084
44359,0.56,Ideal,E,SI1,62.3,56.0,5.26,5.3,3.29,1580
51943,0.7,Premium,F,SI1,61.6,58.0,5.7,5.73,3.52,2441
11733,1.0,Premium,H,VS2,59.6,59.0,6.54,6.47,3.88,5069
41446,0.53,Ideal,E,SI2,60.8,57.0,5.23,5.26,3.19,1229
3647,0.93,Premium,H,SI2,63.0,59.0,6.16,6.11,3.86,3437
6891,1.0,Ideal,I,SI1,61.6,59.0,6.34,6.42,3.93,4133
52695,0.7,Ideal,E,VS2,61.9,57.0,5.69,5.74,3.54,2553
51406,0.97,Ideal,J,I1,61.6,54.0,6.34,6.28,3.89,2370
9935,1.27,Ideal,J,SI2,62.6,57.0,6.85,6.88,4.3,4693
5523,1.01,Very Good,G,SI2,61.9,55.0,6.43,6.46,3.99,3852
33609,0.31,Ideal,D,SI2,62.6,57.0,4.27,4.35,2.7,462
49240,0.65,Very Good,I,VVS1,62.9,58.0,5.51,5.53,3.47,2085
8695,1.0,Ideal,H,SI2,61.5,55.6,6.41,6.48,3.96,4459
14885,1.01,Ideal,G,VS2,61.7,57.0,6.48,6.45,3.99,5995
5223,1.07,Very Good,J,SI2,61.6,54.0,6.57,6.59,4.05,3783
53450,0.7,Very Good,G,VS1,59.2,58.0,5.8,5.83,3.44,2676
50822,0.72,Ideal,E,SI2,61.8,55.0,5.77,5.75,3.56,2308
40258,0.4,Premium,H,VVS2,60.9,58.0,4.79,4.74,2.9,1125
39639,0.49,Premium,E,SI1,61.5,58.0,5.08,5.06,3.12,1084
3644,0.9,Very Good,H,SI1,62.8,57.0,6.14,6.18,3.87,3437
39155,0.36,Ideal,F,IF,61.4,56.0,4.57,4.61,2.82,1063
29635,0.3,Ideal,H,SI1,62.4,53.7,4.29,4.31,2.68,442
4280,1.0,Premium,H,SI2,61.3,57.0,6.45,6.4,3.94,3584
47805,0.64,Premium,F,SI1,60.1,60.0,5.62,5.57,3.36,1901
11502,0.71,Ideal,F,VVS1,61.7,56.0,5.73,5.77,3.55,5019
53086,0.71,Ideal,D,SI2,61.1,57.0,5.77,5.79,3.53,2612
11360,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,4995
47612,0.53,Ideal,G,VVS2,60.4,55.0,5.26,5.3,3.19,1881
39139,0.41,Premium,G,VS2,61.9,59.0,4.77,4.73,2.94,1061
35419,0.4,Premium,G,SI1,62.7,59.0,4.71,4.67,2.94,900
39504,0.51,Ideal,J,VS2,62.5,57.0,5.04,5.08,3.16,1080
28818,0.31,Ideal,D,VS1,61.8,55.0,4.34,4.36,2.69,683
39854,0.33,Ideal,D,VVS1,61.0,55.0,4.47,4.52,2.74,1100
48983,0.24,Very Good,F,VVS2,61.9,56.0,4.0,4.02,2.48,538
33769,0.32,Ideal,D,VVS2,62.3,54.0,4.42,4.44,2.76,841
24033,0.4,Ideal,J,VS1,62.2,54.0,4.72,4.76,2.95,633
28393,0.33,Ideal,H,VS2,62.2,57.0,4.46,4.42,2.76,668
23391,0.36,Very Good,E,SI1,62.4,55.0,4.52,4.55,2.83,631
19607,1.0,Very Good,F,VVS2,61.1,55.0,6.49,6.51,3.97,8227
42159,0.51,Very Good,E,SI1,62.9,55.0,5.06,5.12,3.2,1284
34341,0.3,Ideal,E,VVS1,62.1,57.0,4.27,4.3,2.66,862
43150,0.58,Ideal,H,SI1,61.9,59.0,5.33,5.36,3.31,1389
14843,1.02,Very Good,H,VS1,63.1,57.0,6.38,6.44,4.04,5977
30557,0.31,Ideal,D,VS2,60.4,56.0,4.39,4.42,2.66,734
1334,0.77,Very Good,H,VS1,62.8,58.0,5.75,5.78,3.62,2961
49285,0.7,Ideal,G,SI2,62.4,56.0,5.65,5.67,3.53,2092
17614,1.18,Very Good,D,SI1,61.7,57.0,6.8,6.84,4.21,7093
28031,0.3,Very Good,E,VS2,62.9,58.0,4.22,4.27,2.67,658
1984,0.71,Ideal,G,VVS2,62.5,57.0,5.7,5.73,3.57,3095
35736,0.3,Ideal,D,VS2,62.2,54.0,4.31,4.28,2.67,911
44780,0.52,Premium,E,VS2,60.6,58.0,5.23,5.2,3.16,1622
35314,0.37,Ideal,E,VVS2,61.8,54.0,4.61,4.64,2.86,896
17284,1.03,Premium,E,VS2,62.9,61.0,6.42,6.36,4.02,6922
37184,0.54,Premium,H,SI2,61.8,60.0,5.2,5.16,3.2,972
18518,1.36,Good,G,SI1,64.3,59.0,6.93,6.85,4.43,7549
44878,0.5,Premium,G,VS1,58.9,59.0,5.21,5.15,3.05,1629
17929,1.01,Premium,E,VS2,59.3,58.0,6.53,6.49,3.86,7240
53856,0.53,Premium,D,VS1,61.3,58.0,5.2,5.18,3.18,2743
8253,1.11,Ideal,I,SI2,61.9,57.0,6.62,6.66,4.11,4377
40492,0.42,Premium,F,VVS2,61.7,59.0,4.78,4.82,2.96,1142
42653,0.4,Premium,G,IF,60.8,58.0,4.73,4.77,2.89,1333
13401,0.32,Very Good,G,VS1,61.2,62.0,4.41,4.45,2.71,602
4243,0.9,Good,H,SI1,59.0,62.0,6.23,6.27,3.69,3577
38322,0.5,Very Good,F,SI2,62.5,56.0,5.05,5.09,3.17,1020
39178,0.35,Premium,D,VS2,61.9,58.0,4.6,4.51,2.82,1063
50387,0.71,Good,G,SI1,62.3,56.0,5.68,5.72,3.55,2251
29044,0.42,Ideal,E,SI2,62.7,55.2,4.78,4.79,3.0,687
32366,0.32,Ideal,E,VVS2,62.0,54.0,4.41,4.43,2.74,790
34551,0.38,Ideal,F,VS2,62.2,54.0,4.64,4.66,2.89,870
29813,0.3,Premium,D,SI1,62.5,59.0,4.28,4.26,2.67,709
23413,2.0,Very Good,J,SI1,61.9,59.0,7.96,8.0,4.94,11404
15631,1.01,Good,F,VS2,60.8,61.0,6.42,6.45,3.91,6271
49016,0.5,Very Good,F,VVS2,63.0,57.0,5.01,5.05,3.17,2052
11732,1.01,Ideal,E,SI1,62.2,56.0,6.43,6.4,3.99,5068
